timestamp,market_ticker,city,date,threshold,threshold_type,our_probability,market_price,edge,ev,strategy_mode,side,contracts,entry_price,outcome,actual_temp,predicted_temp,forecast_error,won,profit_loss
2026-02-07T23:44:49.380529,KXHIGHNY-26FEB07-T24,,2026-02-07,24.0,threshold,,,,,,yes,1,2,,,,,NO,-0.02
2026-02-08T01:00:25.538327,KXBTC15M-26FEB080200-00,,2026-02-08,None,threshold,,,,,,yes,5,97,,,,,NO,-4.85
2026-02-08T01:00:25.538684,KXBTC15M-26FEB080145-45,,2026-02-08,None,threshold,,,,,,no,5,99,no,,,,YES,0.05
2026-02-08T01:00:25.538792,KXBTC15M-26FEB080130-30,,2026-02-08,None,threshold,,,,,,yes,5,95,yes,,,,YES,0.25
2026-02-08T01:00:25.538919,KXBTC15M-26FEB080115-15,,2026-02-08,None,threshold,,,,,,yes,5,94,yes,,,,YES,0.30
2026-02-08T01:00:25.539039,KXHIGHDEN-26FEB07-B65.5,,2026-02-08,"(65.0, 66.0)",range,,,,,,no,4,46,,,,,NO,-1.88
2026-02-08T01:00:25.539126,KXHIGHDEN-26FEB07-B63.5,,2026-02-08,"(63.0, 64.0)",range,,,,,,yes,3,32,,,,,NO,-1.06
2026-02-08T01:00:25.539242,KXHIGHDEN-26FEB07-B61.5,,2026-02-08,"(61.0, 62.0)",range,,,,,,yes,9,5,,,,,NO,-0.63
2026-02-08T01:00:25.539354,KXHIGHAUS-26FEB07-T77,,2026-02-08,77.0,threshold,,,,,,yes,8,5,,,,,NO,-0.48
2026-02-08T02:00:38.395696,KXBTC15M-26FEB080245-45,,2026-02-08,None,threshold,,,,,,yes,5,97,yes,,,,YES,0.15
2026-02-08T02:00:38.396090,KXBTC15M-26FEB080230-30,,2026-02-08,None,threshold,,,,,,yes,5,96,yes,,,,YES,0.20
2026-02-08T02:00:38.396264,KXHIGHLAX-26FEB07-B72.5,,2026-02-08,"(72.0, 73.0)",range,,,,,,yes,11,17,,,,,NO,-1.93
2026-02-08T03:02:04.374047,KXBTC15M-26FEB080345-45,,2026-02-08,None,threshold,,,,,,yes,5,99,yes,,,,YES,0.05
2026-02-08T03:02:04.374496,KXBTC15M-26FEB080315-15,,2026-02-08,None,threshold,,,,,,no,5,98,no,,,,YES,0.10
2026-02-08T04:03:17.782514,KXBTC15M-26FEB080430-30,,2026-02-08,None,threshold,,,,,,yes,5,98,yes,,,,YES,0.10
2026-02-08T04:03:17.782966,KXBTC15M-26FEB080415-15,,2026-02-08,None,threshold,,,,,,no,5,99,no,,,,YES,0.05
2026-02-08T05:03:54.447521,KXBTC15M-26FEB080600-00,,2026-02-08,None,threshold,,,,,,no,5,97,no,,,,YES,0.15
2026-02-08T05:03:54.448423,KXBTC15M-26FEB080545-45,,2026-02-08,None,threshold,,,,,,yes,5,99,yes,,,,YES,0.05
2026-02-08T06:04:49.562152,KXBTC15M-26FEB080630-30,,2026-02-08,None,threshold,,,,,,yes,5,99,yes,,,,YES,0.05
2026-02-08T07:13:48.695466,KXBTC15M-26FEB080730-30,,2026-02-08,None,threshold,,,,,,yes,5,97,yes,,,,YES,0.15
2026-02-08T10:50:36.232656,KXBTC15M-26FEB081115-15,,2026-02-08,None,threshold,,,,,,no,5,98,no,,,,YES,0.10
2026-02-08T11:51:07.135495,KXBTC15M-26FEB081230-30,,2026-02-08,None,threshold,,,,,,yes,5,97,yes,,,,YES,0.15
